"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"843",2020-05-17,"FC Koln","Mainz",2,2,"D"
"844",2020-05-17,"Union Berlin","Bayern Munich",0,2,"A"
"845",2020-05-18,"Werder Bremen","Leverkusen",1,4,"A"
"846",2020-05-22,"Hertha","Union Berlin",4,0,"H"
"847",2020-05-23,"Freiburg","Werder Bremen",0,1,"A"
"848",2020-05-23,"M'gladbach","Leverkusen",1,3,"A"
"849",2020-05-23,"Paderborn","Hoffenheim",1,1,"D"
"850",2020-05-23,"Wolfsburg","Dortmund",0,2,"A"
"851",2020-05-23,"Bayern Munich","Ein Frankfurt",5,2,"H"
"852",2020-05-24,"Schalke 04","Augsburg",0,3,"A"
"853",2020-05-24,"Mainz","RB Leipzig",0,5,"A"
"854",2020-05-24,"FC Koln","Fortuna Dusseldorf",2,2,"D"
"855",2020-05-26,"Dortmund","Bayern Munich",0,1,"A"
"856",2020-05-26,"Ein Frankfurt","Freiburg",3,3,"D"
"857",2020-05-26,"Leverkusen","Wolfsburg",1,4,"A"
"858",2020-05-26,"Werder Bremen","M'gladbach",0,0,"D"
"859",2020-05-27,"RB Leipzig","Hertha",2,2,"D"
"860",2020-05-27,"Augsburg","Paderborn",0,0,"D"
"861",2020-05-27,"Fortuna Dusseldorf","Schalke 04",2,1,"H"
"862",2020-05-27,"Hoffenheim","FC Koln",3,1,"H"
"863",2020-05-27,"Union Berlin","Mainz",1,1,"D"
"864",2020-05-29,"Freiburg","Leverkusen",0,1,"A"
"865",2020-05-30,"Hertha","Augsburg",2,0,"H"
"866",2020-05-30,"Mainz","Hoffenheim",0,1,"A"
"867",2020-05-30,"Schalke 04","Werder Bremen",0,1,"A"
"868",2020-05-30,"Wolfsburg","Ein Frankfurt",1,2,"A"
"869",2020-05-30,"Bayern Munich","Fortuna Dusseldorf",5,0,"H"
"870",2020-05-31,"M'gladbach","Union Berlin",4,1,"H"
"871",2020-05-31,"Paderborn","Dortmund",1,6,"A"
"872",2020-06-01,"FC Koln","RB Leipzig",2,4,"A"
"873",2020-06-03,"Werder Bremen","Ein Frankfurt",0,3,"A"
"874",2020-06-05,"Freiburg","M'gladbach",1,0,"H"
"875",2020-06-06,"Ein Frankfurt","Mainz",0,2,"A"
"876",2020-06-06,"Fortuna Dusseldorf","Hoffenheim",2,2,"D"
"877",2020-06-06,"Leverkusen","Bayern Munich",2,4,"A"
"878",2020-06-06,"RB Leipzig","Paderborn",1,1,"D"
"879",2020-06-06,"Dortmund","Hertha",1,0,"H"
"880",2020-06-07,"Werder Bremen","Wolfsburg",0,1,"A"
"881",2020-06-07,"Union Berlin","Schalke 04",1,1,"D"
"882",2020-06-07,"Augsburg","FC Koln",1,1,"D"
"883",2020-06-12,"Hoffenheim","RB Leipzig",0,2,"A"
"884",2020-06-13,"FC Koln","Union Berlin",1,2,"A"
"885",2020-06-13,"Fortuna Dusseldorf","Dortmund",0,1,"A"
"886",2020-06-13,"Hertha","Ein Frankfurt",1,4,"A"
"887",2020-06-13,"Paderborn","Werder Bremen",1,5,"A"
"888",2020-06-13,"Wolfsburg","Freiburg",2,2,"D"
"889",2020-06-13,"Bayern Munich","M'gladbach",2,1,"H"
"890",2020-06-14,"Mainz","Augsburg",0,1,"A"
"891",2020-06-14,"Schalke 04","Leverkusen",1,1,"D"
"892",2020-06-16,"M'gladbach","Wolfsburg",3,0,"H"
"893",2020-06-16,"Freiburg","Hertha",2,1,"H"
"894",2020-06-16,"Union Berlin","Paderborn",1,0,"H"
"895",2020-06-16,"Werder Bremen","Bayern Munich",0,1,"A"
"896",2020-06-17,"Ein Frankfurt","Schalke 04",2,1,"H"
"897",2020-06-17,"Augsburg","Hoffenheim",1,3,"A"
"898",2020-06-17,"Dortmund","Mainz",0,2,"A"
"899",2020-06-17,"Leverkusen","FC Koln",3,1,"H"
"900",2020-06-17,"RB Leipzig","Fortuna Dusseldorf",2,2,"D"
"901",2020-06-20,"Bayern Munich","Freiburg",3,1,"H"
"902",2020-06-20,"FC Koln","Ein Frankfurt",1,1,"D"
"903",2020-06-20,"Fortuna Dusseldorf","Augsburg",1,1,"D"
"904",2020-06-20,"Hertha","Leverkusen",2,0,"H"
"905",2020-06-20,"Hoffenheim","Union Berlin",4,0,"H"
"906",2020-06-20,"Mainz","Werder Bremen",3,1,"H"
"907",2020-06-20,"Paderborn","M'gladbach",1,3,"A"
"908",2020-06-20,"RB Leipzig","Dortmund",0,2,"A"
"909",2020-06-20,"Schalke 04","Wolfsburg",1,4,"A"
"910",2020-06-27,"Augsburg","RB Leipzig",1,2,"A"
"911",2020-06-27,"Dortmund","Hoffenheim",0,4,"A"
"912",2020-06-27,"Ein Frankfurt","Paderborn",3,2,"H"
"913",2020-06-27,"Freiburg","Schalke 04",4,0,"H"
"914",2020-06-27,"Leverkusen","Mainz",1,0,"H"
"915",2020-06-27,"M'gladbach","Hertha",2,1,"H"
"916",2020-06-27,"Union Berlin","Fortuna Dusseldorf",3,0,"H"
"917",2020-06-27,"Werder Bremen","FC Koln",6,1,"H"
"918",2020-06-27,"Wolfsburg","Bayern Munich",0,4,"A"
