"","location","date","new_cases","people_vaccinated","population"
"1087","United Kingdom",2021-01-11,46275,2431648,67886004
"1073","United Arab Emirates",2021-01-26,3601,2427680,9890400
"573","Israel",2021-01-20,10213,2386752,8655541
"348","European Union",2021-01-09,134617,2336163,NA
"1072","United Arab Emirates",2021-01-25,3591,2321091,9890400
"572","Israel",2021-01-19,7380,2309226,8655541
"140","Brazil",2021-02-02,54096,2292551,212559409
"1086","United Kingdom",2021-01-10,55026,2286572,67886004
"1071","United Arab Emirates",2021-01-24,3579,2237789,9890400
"571","Israel",2021-01-18,6560,2236627,8655541
"467","Germany",2021-02-05,10835,2212851,83783945
"1070","United Arab Emirates",2021-01-23,3566,2176798,9890400
"570","Israel",2021-01-17,8190,2167414,8655541
"466","Germany",2021-02-04,13032,2162961,83783945
"347","European Union",2021-01-08,187247,2151936,NA
"1116","United States",2020-12-28,174173,2127143,331002647
"139","Brazil",2021-02-01,24591,2107624,212559409
"465","Germany",2021-02-03,12487,2104895,83783945
"569","Israel",2021-01-16,8450,2099811,8655541
"1069","United Arab Emirates",2021-01-22,3552,2089078,9890400
"568","Israel",2021-01-15,5235,2070690,8655541
"464","Germany",2021-02-02,7690,2052342,83783945
"138","Brazil",2021-01-31,27756,2046523,212559409
"567","Israel",2021-01-14,9754,2040543,8655541
"463","Germany",2021-02-01,6668,1997463,83783945
"1068","United Arab Emirates",2021-01-21,3529,1996069,9890400
"566","Israel",2021-01-13,9997,1985413,8655541
"462","Germany",2021-01-31,748,1949712,83783945
"1115","United States",2020-12-26,226844,1944585,331002647
"565","Israel",2021-01-12,8990,1934499,8655541
"137","Brazil",2021-01-30,58462,1923813,212559409
"461","Germany",2021-01-30,17518,1918568,83783945
"1067","United Arab Emirates",2021-01-20,3506,1911150,9890400
"564","Israel",2021-01-11,9754,1911022,8655541
"563","Israel",2021-01-10,5885,1890730,8655541
"460","Germany",2021-01-29,12831,1880316,83783945
"562","Israel",2021-01-09,8077,1853833,8655541
"459","Germany",2021-01-28,14883,1823978,83783945
"1066","United Arab Emirates",2021-01-19,3491,1815367,9890400
"561","Israel",2021-01-08,6309,1809903,8655541
"346","European Union",2021-01-07,203032,1780131,NA
"426","France",2021-02-04,20,1772602,65273512
"458","Germany",2021-01-27,15636,1772540,83783945
"560","Israel",2021-01-07,7600,1744565,8655541
"1065","United Arab Emirates",2021-01-18,3471,1721521,9890400
"457","Germany",2021-01-26,9387,1718781,83783945
"425","France",2021-02-03,26406,1687026,65273512
"456","Germany",2021-01-25,6887,1665731,83783945
"136","Brazil",2021-01-29,59826,1656851,212559409
"1064","United Arab Emirates",2021-01-17,3453,1632778,9890400
"559","Israel",2021-01-06,7309,1630819,8655541
"424","France",2021-02-02,23337,1615088,65273512
"455","Germany",2021-01-24,10078,1608482,83783945
"454","Germany",2021-01-23,12430,1570586,83783945
"1063","United Arab Emirates",2021-01-16,3432,1547926,9890400
"423","France",2021-02-01,4388,1541079,65273512
"558","Israel",2021-01-05,7966,1530040,8655541
"453","Germany",2021-01-22,16366,1522398,83783945
"213","China",2020-12-15,110,1500000,1439323774
"422","France",2021-01-31,19235,1486493,65273512
"421","France",2021-01-30,24045,1479909,65273512
"420","France",2021-01-29,46495,1453325,65273512
"135","Brazil",2021-01-28,61811,1450900,212559409
"452","Germany",2021-01-21,8277,1439022,83783945
"345","European Union",2021-01-06,162499,1422407,NA
"1062","United Arab Emirates",2021-01-15,3407,1415987,9890400
"557","Israel",2021-01-04,6631,1407039,8655541
"630","Italy",2021-02-05,14213,1400437,60461828
"629","Italy",2021-02-04,13656,1386498,60461828
"451","Germany",2021-01-20,29003,1379142,83783945
"1085","United Kingdom",2021-01-03,55157,1375417,67886004
"628","Italy",2021-02-03,13182,1374552,60461828
"419","France",2021-01-28,696,1372680,65273512
"627","Italy",2021-02-02,9651,1366105,60461828
"626","Italy",2021-02-01,7925,1360145,60461828
"625","Italy",2021-01-31,11249,1355916,60461828
"624","Italy",2021-01-30,12713,1353471,60461828
"623","Italy",2021-01-29,13563,1349739,60461828
"622","Italy",2021-01-28,14360,1345364,60461828
"621","Italy",2021-01-27,15191,1341053,60461828
"620","Italy",2021-01-26,10584,1335198,60461828
"619","Italy",2021-01-25,8559,1331080,60461828
"618","Italy",2021-01-24,11628,1326606,60461828
"617","Italy",2021-01-23,13331,1323617,60461828
"616","Italy",2021-01-22,13633,1318024,60461828
"615","Italy",2021-01-21,14055,1306295,60461828
"1045","Spain",2021-02-04,29960,1305251,46754783
"450","Germany",2021-01-19,12233,1301469,83783945
"614","Italy",2021-01-20,13568,1291374,60461828
"1044","Spain",2021-02-03,31596,1279220,46754783
"1061","United Arab Emirates",2021-01-14,3382,1277833,9890400
"556","Israel",2021-01-03,6743,1267280,8655541
"613","Italy",2021-01-19,10496,1266605,60461828
"1043","Spain",2021-02-02,29064,1265800,46754783
"418","France",2021-01-27,26951,1262972,65273512
"1042","Spain",2021-02-01,79686,1254535,46754783
"1041","Spain",2021-01-31,0,1251369,46754783
"612","Italy",2021-01-18,8825,1236665,60461828
"449","Germany",2021-01-18,9253,1234700,83783945
"1040","Spain",2021-01-28,34899,1222323,46754783
"1039","Spain",2021-01-27,40285,1202859,46754783
"611","Italy",2021-01-17,12544,1199514,60461828
"875","Poland",2021-02-05,6053,1193034,37846605
"344","European Union",2021-01-05,172569,1189817,NA
"1038","Spain",2021-01-26,36435,1183395,46754783
"448","Germany",2021-01-17,11484,1176986,83783945
"874","Poland",2021-02-04,6495,1171229,37846605
"1037","Spain",2021-01-25,93822,1167519,46754783
"610","Italy",2021-01-16,16310,1166413,60461828
"417","France",2021-01-26,22143,1165852,65273512
"1036","Spain",2021-01-24,0,1148895,46754783
"447","Germany",2021-01-16,14817,1145766,83783945
"1060","United Arab Emirates",2021-01-13,3362,1144580,9890400
"134","Brazil",2021-01-27,63520,1129885,212559409
"555","Israel",2021-01-02,6289,1120243,8655541
"873","Poland",2021-02-03,6801,1117146,37846605
"609","Italy",2021-01-15,16144,1102851,60461828
"1035","Spain",2021-01-22,42885,1097369,46754783
"446","Germany",2021-01-15,8593,1089401,83783945
"416","France",2021-01-25,4300,1075045,65273512
"1034","Spain",2021-01-21,44357,1054245,46754783
"872","Poland",2021-02-02,4326,1053245,37846605
"554","Israel",2021-01-01,5248,1049294,8655541
"1059","United Arab Emirates",2021-01-12,3243,1025652,9890400
"608","Italy",2021-01-14,17243,1015194,60461828
"1033","Spain",2021-01-20,41576,1010295,46754783
"1114","United States",2020-12-23,228761,1008025,331002647
"415","France",2021-01-24,18436,1003968,65273512
"1084","United Kingdom",2020-12-27,32493,1001985,67886004
"871","Poland",2021-02-01,2504,998587,37846605
"445","Germany",2021-01-14,21343,997072,83783945
"414","France",2021-01-23,23924,995147,65273512
"553","Israel",2020-12-31,6678,978716,8655541
"870","Poland",2021-01-31,4711,976367,37846605
"413","France",2021-01-22,23324,959716,65273512
"869","Poland",2021-01-30,5864,958453,37846605
"1032","Spain",2021-01-19,34291,956756,46754783
"868","Poland",2021-01-29,6145,945600,37846605
"607","Italy",2021-01-13,15773,923366,60461828
"867","Poland",2021-01-28,7153,917908,37846605
"1058","United Arab Emirates",2021-01-11,2404,917251,9890400
"343","European Union",2021-01-04,101218,900103,NA
"444","Germany",2021-01-13,25566,896773,83783945
"1031","Spain",2021-01-18,84287,895627,46754783
"184","Canada",2021-01-30,3850,871905,37742157
"866","Poland",2021-01-27,6790,858474,37846605
"412","France",2021-01-21,22710,850380,65273512
"133","Brazil",2021-01-26,61963,848883,212559409
"1057","United Arab Emirates",2021-01-10,2876,836568,9890400
"606","Italy",2021-01-12,14242,830621,60461828
"552","Israel",2020-12-30,4186,822132,8655541
"443","Germany",2021-01-12,27210,798423,83783945
"865","Poland",2021-01-26,4603,782413,37846605
"183","Canada",2021-01-23,5094,781559,37742157
"1030","Spain",2021-01-15,40197,768950,46754783
"605","Italy",2021-01-11,12530,749768,60461828
"537","Indonesia",2021-02-05,11749,744884,273523621
"442","Germany",2021-01-11,11706,716531,83783945
"411","France",2021-01-20,26877,708973,65273512
"864","Poland",2021-01-25,2674,701222,37846605
"132","Brazil",2021-01-25,26816,700608,212559409
"536","Indonesia",2021-02-04,11434,700266,273523621
"1029","Spain",2021-01-14,35878,676186,46754783
"1083","United Kingdom",2020-12-20,36084,673216,67886004
"551","Israel",2020-12-29,5113,671662,8655541
"604","Italy",2021-01-10,18625,669328,60461828
"863","Poland",2021-01-24,4566,659753,37846605
"862","Poland",2021-01-23,6431,654184,37846605
"441","Germany",2021-01-10,948,650941,83783945
"535","Indonesia",2021-02-03,11984,646026,273523621
"927","Romania",2021-02-05,2580,638886,19237682
"861","Poland",2021-01-22,6693,638798,37846605
"769","Mexico",2021-02-05,26626,636070,128932753
"768","Mexico",2021-02-04,0,634346,128932753
"764","Mexico",2021-01-31,7030,631485,128932753
"763","Mexico",2021-01-30,15337,631298,128932753
"342","European Union",2021-01-03,77689,631282,NA
"762","Mexico",2021-01-29,16374,630820,128932753
"926","Romania",2021-02-04,2668,629279,19237682
"761","Mexico",2021-01-28,18670,626528,128932753
"760","Mexico",2021-01-27,17944,624730,128932753
"759","Mexico",2021-01-26,17165,621005,128932753
"925","Romania",2021-02-03,2752,620176,19237682
"440","Germany",2021-01-09,22824,617700,83783945
"758","Mexico",2021-01-25,8521,616390,128932753
"767","Mexico",2021-02-03,12153,615381,128932753
"766","Mexico",2021-02-02,4384,614733,128932753
"765","Mexico",2021-02-01,5448,614689,128932753
"1113","United States",2020-12-21,198608,614117,331002647
"924","Romania",2021-02-02,2676,610383,19237682
"603","Italy",2021-01-09,19976,609110,60461828
"860","Poland",2021-01-21,7008,605313,37846605
"131","Brazil",2021-01-24,28323,604722,212559409
"757","Mexico",2021-01-24,10872,604441,128932753
"923","Romania",2021-02-01,1313,598135,19237682
"756","Mexico",2021-01-23,20057,596296,128932753
"534","Indonesia",2021-02-02,10379,596260,273523621
"755","Mexico",2021-01-22,21007,594725,128932753
"410","France",2021-01-19,23895,585735,65273512
"922","Romania",2021-01-31,1825,585218,19237682
"1028","Spain",2021-01-13,38869,581638,46754783
"921","Romania",2021-01-30,2668,571091,19237682
"859","Poland",2021-01-20,6943,566793,37846605
"182","Canada",2021-01-16,6359,564874,37742157
"439","Germany",2021-01-08,19077,561291,83783945
"212","Chile",2021-02-05,3782,556754,19116209
"1112","United States",2020-12-20,187549,556208,331002647
"920","Romania",2021-01-29,2737,554924,19237682
"341","European Union",2021-01-02,64511,540299,NA
"533","Indonesia",2021-02-01,10994,539532,273523621
"130","Brazil",2021-01-23,62334,537774,212559409
"919","Romania",2021-01-28,2901,534346,19237682
"754","Mexico",2021-01-21,22339,534317,128932753
"858","Poland",2021-01-19,4890,530055,37846605
"602","Italy",2021-01-08,17529,522379,60461828
"550","Israel",2020-12-28,5815,517712,8655541
"918","Romania",2021-01-27,3174,513429,19237682
"438","Germany",2021-01-07,45333,501341,83783945
"532","Indonesia",2021-01-31,12001,493133,273523621
"857","Poland",2021-01-18,3332,491696,37846605
"753","Mexico",2021-01-20,20548,489628,128932753
"752","Mexico",2021-01-19,18894,488513,128932753
"1027","Spain",2021-01-12,25438,488122,46754783
"917","Romania",2021-01-26,2877,487711,19237682
"751","Mexico",2021-01-18,8074,485983,128932753
"531","Indonesia",2021-01-30,14518,482145,273523621
"856","Poland",2021-01-17,5970,468795,37846605
"750","Mexico",2021-01-17,11170,468708,128932753
"409","France",2021-01-18,3798,468073,65273512
"749","Mexico",2021-01-16,20523,461025,128932753
"916","Romania",2021-01-25,1551,459567,19237682
"855","Poland",2021-01-16,7292,457303,37846605
"437","Germany",2021-01-06,26663,442766,83783945
"854","Poland",2021-01-15,7958,436963,37846605
"340","European Union",2021-01-01,112548,435409,NA
"915","Romania",2021-01-24,1816,433129,19237682
"601","Italy",2021-01-07,18416,427315,60461828
"748","Mexico",2021-01-15,21366,415417,128932753
"853","Poland",2021-01-14,9457,410480,37846605
"1026","Spain",2021-01-11,61422,406091,46754783
"914","Romania",2021-01-23,2719,406006,19237682
"530","Indonesia",2021-01-29,13802,405012,273523621
"339","European Union",2020-12-31,163706,395373,NA
"408","France",2021-01-17,37405,391910,65273512
"549","Israel",2020-12-27,2806,384707,8655541
"436","Germany",2021-01-05,18349,384445,83783945
"407","France",2021-01-16,290,382326,65273512
"913","Romania",2021-01-22,2699,374681,19237682
"852","Poland",2021-01-13,9126,369212,37846605
"529","Indonesia",2021-01-28,13695,368318,273523621
"406","France",2021-01-15,21673,364846,65273512
"912","Romania",2021-01-21,2878,338252,19237682
"600","Italy",2021-01-06,20326,335724,60461828
"435","Germany",2021-01-04,12320,332306,83783945
"747","Mexico",2021-01-14,16468,329983,128932753
"123","Belgium",2021-02-05,2585,326405,11589616
"122","Belgium",2021-02-04,2452,323210,11589616
"121","Belgium",2021-02-03,3124,317646,11589616
"120","Belgium",2021-02-02,1854,310144,11589616
"851","Poland",2021-01-12,5394,309620,37846605
"504","Greece",2021-02-05,1172,306441,10423056
"405","France",2021-01-14,21431,306206,65273512
"338","European Union",2020-12-30,196752,306157,NA
"911","Romania",2021-01-20,3000,302570,19237682
"119","Belgium",2021-02-01,1264,301558,11589616
"118","Belgium",2021-01-31,2316,297971,11589616
"16","Argentina",2021-02-04,8891,297717,45195777
"117","Belgium",2021-01-30,2717,297407,11589616
"116","Belgium",2021-01-29,2683,295872,11589616
"503","Greece",2021-02-04,1069,291259,10423056
"1056","Sweden",2021-02-05,3388,286853,10099270
"115","Belgium",2021-01-28,2775,285248,11589616
"15","Argentina",2021-02-03,9196,284196,45195777
"434","Germany",2021-01-03,10356,283420,83783945
"14","Argentina",2021-02-01,6614,281577,45195777
"548","Israel",2020-12-26,4273,281347,8655541
"211","Chile",2021-02-04,3592,281301,19116209
"13","Argentina",2021-01-30,6902,281023,45195777
"887","Portugal",2021-02-04,7914,279236,10196707
"12","Argentina",2021-01-29,9838,278451,45195777
"1025","Spain",2021-01-08,25456,277976,46754783
"11","Argentina",2021-01-28,9471,276548,45195777
"502","Greece",2021-02-03,1150,276103,10423056
"1055","Sweden",2021-02-04,3758,276008,10099270
"886","Portugal",2021-02-03,9083,275093,10196707
"10","Argentina",2021-01-27,10843,272323,45195777
"114","Belgium",2021-01-27,3020,271019,11589616
"599","Italy",2021-01-05,15375,270719,60461828
"885","Portugal",2021-02-01,5805,269814,10196707
"884","Portugal",2021-01-31,9498,268386,10196707
"910","Romania",2021-01-19,2745,267424,19237682
"9","Argentina",2021-01-26,10409,266969,45195777
"522","Hungary",2021-02-04,1652,264530,9660350
"1054","Sweden",2021-02-03,4310,264148,10099270
"501","Greece",2021-02-02,1221,261543,10423056
"8","Argentina",2021-01-25,7578,260122,45195777
"7","Argentina",2021-01-24,5031,260036,45195777
"6","Argentina",2021-01-23,8362,258876,45195777
"433","Germany",2021-01-02,10903,258223,83783945
"113","Belgium",2021-01-26,1784,258211,11589616
"850","Poland",2021-01-11,4863,257834,37846605
"1053","Sweden",2021-02-02,9649,256978,10099270
"5","Argentina",2021-01-22,10753,254456,45195777
"282","Czechia",2021-02-05,8125,254131,10708982
"281","Czechia",2021-02-04,9695,250314,10708982
"521","Hungary",2021-02-03,1048,249687,9660350
"4","Argentina",2021-01-21,11396,249372,45195777
"547","Israel",2020-12-25,4713,249316,8655541
"112","Belgium",2021-01-25,1192,248188,11589616
"520","Hungary",2021-02-02,578,247270,9660350
"500","Greece",2021-02-01,538,247251,10423056
"280","Czechia",2021-02-03,9143,246070,10708982
"129","Brazil",2021-01-22,56552,245877,212559409
"3","Argentina",2021-01-20,12112,243539,45195777
"519","Hungary",2021-02-01,1124,243136,9660350
"279","Czechia",2021-02-02,7185,241846,10708982
"278","Czechia",2021-02-01,2555,237978,10708982
"518","Hungary",2021-01-31,1307,237872,9660350
"111","Belgium",2021-01-24,1812,237686,11589616
"110","Belgium",2021-01-23,2583,235841,11589616
"404","France",2021-01-13,23932,235786,65273512
"277","Czechia",2021-01-31,4060,234358,10708982
"276","Czechia",2021-01-30,8072,233663,10708982
"909","Romania",2021-01-18,1509,233288,19237682
"275","Czechia",2021-01-29,7982,232949,10708982
"499","Greece",2021-01-30,795,232399,10423056
"1052","Sweden",2021-01-29,2400,230068,10099270
"109","Belgium",2021-01-22,2444,228055,11589616
"274","Czechia",2021-01-28,8505,226950,10708982
"883","Portugal",2021-01-26,10765,225499,10196707
"517","Hungary",2021-01-30,1370,222005,9660350
"498","Greece",2021-01-29,882,220621,10423056
"273","Czechia",2021-01-27,9209,219957,10708982
"1051","Sweden",2021-01-28,4085,216269,10099270
"181","Canada",2021-01-09,8393,213147,37742157
"546","Israel",2020-12-24,4656,211322,8655541
"272","Czechia",2021-01-26,6942,211174,10708982
"497","Greece",2021-01-28,713,210488,10423056
"1050","Sweden",2021-01-24,0,209381,10099270
"432","Germany",2021-01-01,2117,207452,83783945
"1024","Spain",2021-01-07,42360,207323,46754783
"908","Romania",2021-01-17,2156,204185,19237682
"849","Poland",2021-01-10,9133,203053,37846605
"43","Austria",2021-02-05,1388,202160,9006400
"271","Czechia",2021-01-25,2387,200913,10708982
"848","Poland",2021-01-09,10744,200022,37846605
"108","Belgium",2021-01-21,2571,199469,11589616
"42","Austria",2021-02-04,1518,198912,9006400
"847","Poland",2021-01-08,8763,198787,37846605
"516","Hungary",2021-01-29,1459,198283,9660350
"496","Greece",2021-01-27,857,198161,10423056
"907","Romania",2021-01-16,3218,196090,19237682
"322","Denmark",2021-02-04,554,194732,5792203
"41","Austria",2021-02-03,1520,194287,9006400
"321","Denmark",2021-02-03,425,193300,5792203
"746","Mexico",2021-01-13,15873,192567,128932753
"320","Denmark",2021-02-02,397,191741,5792203
"270","Czechia",2021-01-24,4256,191460,10708982
"598","Italy",2021-01-04,10798,191388,60461828
"40","Austria",2021-02-02,1241,189926,9006400
"319","Denmark",2021-02-01,488,189698,5792203
"269","Czechia",2021-01-23,8514,189258,10708982
"318","Denmark",2021-01-31,377,188959,5792203
"846","Poland",2021-01-07,12119,188956,37846605
"317","Denmark",2021-01-30,431,187707,5792203
"39","Austria",2021-02-01,1124,186479,9006400
"316","Denmark",2021-01-29,456,186468,5792203
"268","Czechia",2021-01-22,7488,186441,10708982
"315","Denmark",2021-01-28,668,185346,5792203
"38","Austria",2021-01-31,1190,185291,9006400
"314","Denmark",2021-01-27,592,185101,5792203
"313","Denmark",2021-01-26,654,184889,5792203
"312","Denmark",2021-01-25,625,184673,5792203
"495","Greece",2021-01-26,814,184610,10423056
"311","Denmark",2021-01-24,754,184428,5792203
"310","Denmark",2021-01-23,879,183809,5792203
"906","Romania",2021-01-15,3353,183669,19237682
"37","Austria",2021-01-30,1478,183628,9006400
"309","Denmark",2021-01-22,773,183025,5792203
"431","Germany",2020-12-31,19367,182960,83783945
"308","Denmark",2021-01-21,760,182366,5792203
"307","Denmark",2021-01-20,888,180837,5792203
"83","Bahrain",2021-02-05,702,179550,1701583
"306","Denmark",2021-01-19,725,179317,5792203
"403","France",2021-01-12,19680,179119,65273512
"980","Slovakia",2021-02-05,2630,177751,5459643
"82","Bahrain",2021-02-04,704,177233,1701583
"305","Denmark",2021-01-18,807,176825,5792203
"515","Hungary",2021-01-28,1569,175283,9660350
"81","Bahrain",2021-02-03,553,175094,1701583
"948","Singapore",2021-02-02,19,175000,5850343
"36","Austria",2021-01-29,1500,174262,9006400
"80","Bahrain",2021-02-02,657,174075,1701583
"304","Denmark",2021-01-17,889,172953,5792203
"79","Bahrain",2021-02-01,525,172912,1701583
"267","Czechia",2021-01-21,8228,172156,10708982
"494","Greece",2021-01-25,432,171890,10423056
"78","Bahrain",2021-01-31,431,171568,1701583
"77","Bahrain",2021-01-30,655,170433,1701583
"303","Denmark",2021-01-16,880,170413,5792203
"107","Belgium",2021-01-20,3006,170217,11589616
"76","Bahrain",2021-01-29,468,169810,1701583
"979","Slovakia",2021-02-04,2077,169709,5459643
"337","European Union",2020-12-29,144298,169704,NA
"75","Bahrain",2021-01-28,387,169440,1701583
"74","Bahrain",2021-01-27,427,167731,1701583
"905","Romania",2021-01-14,3525,167612,19237682
"73","Bahrain",2021-01-26,459,165953,1701583
"302","Denmark",2021-01-15,2162,165811,5792203
"386","Finland",2021-02-05,401,164636,5540718
"35","Austria",2021-01-28,1449,163806,9006400
"514","Hungary",2021-01-27,1004,161215,9660350
"978","Slovakia",2021-02-03,2732,160839,5459643
"845","Poland",2021-01-06,14220,160359,37846605
"809","Norway",2021-02-04,373,160076,5421242
"385","Finland",2021-02-04,444,159624,5540718
"266","Czechia",2021-01-20,9628,157318,10708982
"493","Greece",2021-01-23,605,156966,10423056
"947","Singapore",2021-01-31,29,155000,5850343
"904","Romania",2021-01-13,4424,154268,19237682
"34","Austria",2021-01-27,1641,153859,9006400
"513","Hungary",2021-01-26,459,152704,9660350
"540","Ireland",2021-02-03,1006,152200,4937796
"977","Slovakia",2021-02-02,1737,151464,5459643
"301","Denmark",2021-01-14,1,150624,5792203
"539","Ireland",2021-01-31,1244,150500,4937796
"106","Belgium",2021-01-19,1479,150360,11589616
"384","Finland",2021-02-03,265,149951,5540718
"512","Hungary",2021-01-25,844,149676,9660350
"538","Ireland",2021-01-27,1331,147700,4937796
"511","Hungary",2021-01-24,1257,146695,9660350
"33","Austria",2021-01-26,1417,146587,9006400
"383","Finland",2021-02-02,302,145770,5540718
"382","Finland",2021-02-01,244,145557,5540718
"510","Hungary",2021-01-23,1344,145257,9660350
"430","Germany",2020-12-30,49044,144903,83783945
"381","Finland",2021-01-30,469,144520,5540718
"265","Czechia",2021-01-19,7651,144419,10708982
"72","Bahrain",2021-01-20,313,144130,1701583
"71","Bahrain",2021-01-19,320,143596,1701583
"509","Hungary",2021-01-22,1311,143184,9660350
"70","Bahrain",2021-01-18,333,142831,1701583
"976","Slovakia",2021-02-01,444,142652,5459643
